date	close	id	rate	open
24-Apr-17	20699.28	1001	0.097	93.24
25-Apr-17	21167.7	1003	0.091	95.35
26-Apr-17	21942.48	1005	0.134	98.84
27-Apr-17	22182.24	1007	0.121	99.92
30-Apr-17	22155.6	1009	0.099	99.8
1-May-17	22082.34	1011	0.164	99.47
2-May-17	22286.58	1013	0.167	100.39
3-May-17	22288.8	1015	0.108	100.4
4-May-17	22379.82	1017	0.186	100.81
7-May-17	23070.24	1019	0.118	103.92
8-May-17	45523.32	1021	0.099	205.06
9-May-17	45927.36	1023	0.127	206.88
10-May-17	46029.48	1025	0.17	207.34
11-May-17	46340.28	1027	0.159	208.74
14-May-17	46477.92	1029	0.104	209.36
15-May-17	23869.44	1031	0.085	107.52
16-May-17	46029.48	1033	0.114	207.34
17-May-17	24295.68	1035	0.195	109.44
18-May-17	24424.44	1037	0.14	110.02
21-May-17	24859.56	1039	0.101	111.98
22-May-17	25205.88	1041	0.097	113.54
23-May-17	25061.58	1043	0.096	112.89
24-May-17	24573.18	1045	0.093	110.69
25-May-17	25223.64	1047	0.211	113.62
29-May-17	25385.7	1049	0.143	114.35
30-May-17	26366.94	1051	0.09	118.77
31-May-17	26904.18	1053	0.129	121.19
1-Jun-17	26284.8	1055	0.107	118.4
4-Jun-17	26935.26	1057	0.128	121.33
5-Jun-17	27232.74	1059	0.123	122.67
6-Jun-17	36328.08	1061	0.1	163.64
7-Jun-17	45523.32	1063	0.147	205.06
8-Jun-17	27636.78	1065	0.127	124.49
11-Jun-17	26682.18	1067	0.099	120.19
12-Jun-17	26724.36	1069	0.089	120.38
13-Jun-17	26085	1071	0.118	117.5
14-Jun-17	26362.5	1073	0.107	118.75
15-Jun-17	26751	1075	0.148	120.5
18-Jun-17	27769.98	1077	0.105	125.09
19-Jun-17	27452.52	1079	0.136	123.66
20-Jun-17	26984.1	1081	0.086	121.55
21-Jun-17	27505.8	1083	0.093	123.9
22-Jun-17	27306	1085	0.185	123
25-Jun-17	27159.48	1087	0.114	122.34
26-Jun-17	26562.3	1089	0.075	119.65
27-Jun-17	27059.58	1091	0.148	121.89
28-Jun-17	26764.32	1093	0.152	120.56
29-Jun-17	27092.88	1095	0.092	122.04
2-Jul-17	26919.72	1097	0.111	121.26
3-Jul-17	28231.74	1099	0.187	127.17
5-Jul-17	29470.5	1101	0.102	132.75
6-Jul-17	29370.6	1103	0.104	132.3
9-Jul-17	28933.26	1105	0.198	130.33
10-Jul-17	29381.7	1107	0.13	132.35
11-Jul-17	29390.58	1109	0.087	132.39
12-Jul-17	29763.54	1111	0.151	134.07
13-Jul-17	30576.06	1113	0.126	137.73
16-Jul-17	30658.2	1115	0.107	138.1
17-Jul-17	30838.02	1117	0.076	138.91
18-Jul-17	30662.64	1119	0.139	138.12
19-Jul-17	31080	1121	0.136	140
20-Jul-17	31912.5	1123	0.137	143.75
23-Jul-17	31901.4	1125	0.09	143.7
24-Jul-17	29945.58	1127	0.119	134.89
25-Jul-17	30471.72	1129	0.151	137.26
26-Jul-17	32412	1131	0.256	146
27-Jul-17	31934.7	1133	0.175	143.85
30-Jul-17	31397.46	2013	0.101	141.43
31-Jul-17	29250.72	2016	0.084	131.76
1-Aug-17	29970	2020	0.07	135
2-Aug-17	30300.78	2050	0.148	136.49
3-Aug-17	29270.7	2060	0.036	131.85
6-Aug-17	30025.5	2068	0.034	135.25
7-Aug-17	29976.66	2070	0.084	135.03
